NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
148,7.1001,-9.6257,-2.2167,-8.7364,-4.8364,-6.9773,-7.5227,0.37464,5.781,1.2782,0.30374,1.1859,3.7235,1.671,15.874,4.5694
149,8.5027,-12.712,-9.9393,-11.957,-7.0297,-10.942,-16.75,-5.6529,9.026,6.8423,-11.332,8.8561,-8.1626,-8.2889,8.7082,-10.27
150,-5.2281,7.9789,7.6749,9.4931,8.3015,7.8738,1.0575,6.5815,5.977,-4.8841,14.929,-4.5637,12.087,12.905,-10.414,9.3181
151,-8.7416,16.226,16.141,18.523,17.02,14.728,9.2326,12.291,6.075,-2.6672,14.615,-3.12,14.155,15.644,-11.029,16.374
152,-12.169,6.474,11.366,7.2989,7.8979,5.2452,5.6593,9.5496,5.5411,-7.2584,15.48,-7.1496,13.559,13.067,-2.5982,17.148
153,-10.803,2.2796,2.5563,0.063254,2.0825,-0.78035,-2.3696,1.0385,4.8115,-7.0597,6.6553,-5.5948,1.9857,1.2506,4.8082,6.9258
154,-7.6598,-0.73346,1.1553,-2.4911,0.2045,-0.69896,-0.4938,1.9791,0.060396,-7.0372,3.0397,-7.9415,-0.51847,-2.4446,7.7317,4.5822
155,-11.624,1.5158,-0.80919,-5.4277,-5.1528,-2.6356,-5.9779,-9.2939,-6.2801,-6.3279,-8.5215,-9.0471,-10.21,-12.253,4.0839,-9.4863
156,-15.478,13.29,7.7492,9.2111,7.9378,8.7067,5.2723,-2.1825,-8.0457,-7.0994,0.24442,-7.1865,-0.58196,-1.127,1.4443,-2.4995
157,-11.919,5.6895,9.0959,9.0765,7.9763,5.1888,13.971,6.2517,-5.5152,-10.523,1.9246,-9.1631,3.2284,4.5102,5.6921,4.9694
158,2.6298,-16.258,-5.7007,-9.8029,-11.353,-14.426,2.0529,-2.4418,-0.22325,4.267,-9.212,8.8486,-8.118,-5.4652,8.7667,-3.3191
159,6.9166,-14.101,-5.287,-7.287,-8.226,-11.336,0.35143,-4.7404,-6.0176,9.7057,-14.794,8.8491,-14.205,-11.347,-6.7102,-11.286
160,4.6801,-0.79603,-0.99936,4.4064,5.8029,-1.9061,7.9695,-6.057,-2.7535,18.896,-14.292,15.896,-10.863,-6.3889,-8.1588,-5.4297
161,0.30994,4.8314,1.1197,6.2499,6.2917,4.4996,16.318,2.7212,-0.53597,4.6827,0.90167,-0.19829,4.9081,6.6551,-9.5592,11.644
162,2.6641,5.1625,-0.84809,5.2983,4.8131,7.5746,9.9832,2.213,0.23615,7.8195,-2.1045,4.7126,2.4534,-0.79654,0.29708,4.0506
163,2.9047,-1.618,-6.5462,-0.68447,0.011551,-1.9822,4.071,-5.4899,1.3819,-0.51957,-1.4594,-4.3938,2.4565,-0.83287,3.81,2.2802
