NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
144,-0.46832,-23.313,-17.501,-20.248,-23.73,-25.948,-13.674,-7.6244,-1.2877,3.5961,-23.622,2.4055,-31.21,-36.133,4.8725,-25.394
145,-3.3624,1.4927,-0.68272,4.8795,6.111,3.0704,0.02778,-1.9083,8.4766,1.6119,5.0961,-7.0832,-4.6776,-4.3022,4.7631,-1.9606
146,-8.5787,2.8654,4.7022,14.872,17.946,10.157,8.221,3.4527,8.4926,-4.0535,17.783,-10.322,17.888,20.16,1.5795,19.333
147,5.9156,-19.076,-10.133,-7.5069,-5.4013,-15.84,2.0029,-0.59609,10.258,-0.18965,1.4463,-2.8117,-6.9869,-1.2054,2.3727,-1.4608
148,6.2949,1.8926,-0.92723,7.3968,10.411,3.0208,-2.5259,-2.2465,8.1441,7.0103,8.6323,6.2161,-5.803,-0.30373,-11.293,-5.3926
149,2.4311,-6.8523,3.2411,-2.8853,2.6244,-2.773,2.7389,2.1108,6.855,-2.4704,21.348,-3.4428,17.976,23.675,-11.571,17.385
150,3.8009,5.3876,0.52312,4.102,6.3092,10.292,-1.5157,-7.5271,5.5142,5.2011,5.9856,7.5273,0.25477,-2.1554,13.862,-5.0426
151,4.7642,5.5356,4.1464,-1.0295,-1.798,11.92,1.5282,0.14216,7.1372,1.1505,23.965,7.2278,14.71,6.9522,18.023,7.5783
152,-0.55546,9.2717,4.708,5.7642,6.4886,13.265,2.0472,1.3908,4.5962,-3.7958,21.183,3.1306,7.6594,-0.70899,1.9015,3.6689
153,-2.2182,9.4775,6.7571,4.6731,6.4142,11.051,3.4321,0.8017,4.9592,1.4795,15.574,7.3756,2.5988,-2.4317,-0.029695,0.19497
154,6.0931,-8.4459,-3.2946,-18.531,-20.056,-7.1039,-2.8118,-2.3132,4.1465,1.66,1.5189,5.1832,-10.57,-15.515,-3.7531,-14.324
155,7.6114,-3.2541,-1.4751,-6.3969,-7.9905,-5.5774,-0.49382,-0.80124,-5.1547,4.8491,-11.951,9.4149,-4.1258,-5.2504,-4.24,-5.7237
156,10.028,-12.64,-7.879,-11.341,-13.198,-17.851,-5.1023,-4.7885,-7.9746,11.033,-25.408,16.487,-13.373,-9.1566,6.8247,-14.75
157,4.9344,-5.1555,-5.5995,-1.937,-2.989,-11.808,-4.4452,-5.6306,-12.104,6.3653,-28.268,7.3953,-12.419,-6.7013,-2.1581,-6.6507
158,7.553,-6.5505,-6.1819,-3.1033,-3.1817,-11.474,-4.5635,-5.4375,-5.7311,12.781,-30.339,11.365,-12.379,-5.1459,1.0114,-4.6367
159,-10.643,21.695,11.547,28.447,30.924,19.449,5.6782,0.0068241,-15.933,-1.1203,-5.2306,-9.6921,18.022,25.705,7.0161,19.211
160,6.5703,-27.115,-15.233,-25.385,-28.01,-24.061,-4.2503,1.3442,-19.3,-2.8725,-28.229,-9.4391,-14.783,-12.406,17.601,-12.877
161,2.6399,10.099,-4.2892,7.3004,0.088853,9.4407,-11.447,-3.217,-20.141,8.7506,-12.468,5.7063,-23.018,-27.498,-7.6318,-26.471
162,-7.8397,18.073,11.372,16.94,12.608,21.393,2.0169,8.1345,-21.503,-10.389,42.336,-12.959,18.406,12.44,-25.811,9.1071
163,-0.99464,-3.9646,-0.11882,-6.5609,-8.1722,-1.0133,0.13936,12.469,-10.252,-9.5366,20.85,-10.273,3.8032,-0.94094,-17.255,1.6982
164,-5.2067,11.178,6.175,9.8161,7.4643,12.424,0.66284,8.1254,-3.9078,-8.7501,9.4299,-11.543,0.63123,-5.3987,-12.666,-0.62251
165,-5.2067,11.178,6.175,9.8161,7.4643,12.424,0.66284,8.1254,-3.9078,-8.7501,9.4299,-11.543,0.63123,-5.3987,-12.666,-0.62251
